Date,Amount
2017/9/23,200
2017/9/22,
2017/9/21,
2017/9/20,19
2017/9/19,
2017/9/18,20
2017/9/17,32
2017/9/16,
2017/9/15,
2017/9/14,50
2017/9/13,45
2017/9/12,43
2017/9/11,
2017/9/10,
2017/9/9,28
2017/9/8,
2017/9/7,19
2017/9/6,50
2017/9/5,
2017/9/4,44
2017/9/3,33
2017/9/2,
2017/9/1,40
2017/8/31,38
2017/8/30,49
2017/8/29,22
2017/8/28,25
2017/8/27,
2017/8/26,14
2017/8/25,
2017/8/24,26
2017/8/23,38
2017/8/22,23
2017/8/21,
2017/8/20,66
2017/8/19,27
2017/8/18,
2017/8/17,26
2017/8/16,52
2017/8/15,
2017/8/14,
2017/8/13,
2017/8/12,
2017/8/11,37
2017/8/10,
2017/8/9,
2017/8/8,52
2017/8/7,19
2017/8/6,
2017/8/5,65
2017/8/4,
2017/8/3,27
2017/8/2,50
2017/8/1,25
2017/7/31,
2017/7/30,28
2017/7/29,
2017/7/28,55
2017/7/27,
2017/7/26,
2017/7/25,
2017/7/24,36
2017/7/23,47
2017/7/22,27
2017/7/21,44
2017/7/20,38
2017/7/19,40
2017/7/18,35
2017/7/17,
2017/7/16,
2017/7/15,
2017/7/14,
2017/7/13,
2017/7/12,18
2017/7/11,
2017/7/10,37
2017/7/9,37
2017/7/8,25
2017/7/7,47
2017/7/6,
2017/7/5,
2017/7/4,
2017/7/3,
2017/7/2,34
2017/7/1,25
2017/6/30,42
2017/6/29,46
2017/6/28,
2017/6/27,26
2017/6/26,50
2017/6/25,45
2017/6/24,33
2017/6/23,44
2017/6/22,
2017/6/21,38
2017/6/20,37
2017/6/19,46
2017/6/18,54
2017/6/17,41
2017/6/16,47
2017/6/15,49
2017/6/14,
2017/6/13,39
2017/6/12,46
2017/6/11,51
2017/6/10,26
2017/6/9,
2017/6/8,
2017/6/7,58
2017/6/6,49
2017/6/5,
2017/6/4,
2017/6/3,
2017/6/2,53
2017/6/1,51
2017/5/31,32
2017/5/30,39
2017/5/29,29
2017/5/28,47
2017/5/27,41
2017/5/26,47
2017/5/25,55
2017/5/24,
2017/5/23,40
2017/5/22,40
2017/5/21,60
2017/5/20,
2017/5/19,
2017/5/18,38
2017/5/17,36
2017/5/16,34
2017/5/15,43
2017/5/14,44
2017/5/13,33
2017/5/12,34
2017/5/11,37
2017/5/10,41
2017/5/9,36
2017/5/8,35
2017/5/7,
2017/5/6,39
2017/5/5,34
2017/5/4,36
2017/5/3,29
2017/5/2,29
2017/5/1,33
2017/4/30,30
2017/4/29,32
2017/4/28,35
